Period,Manufacturing share in total employment %,Services share in total employment %,Agriculture share in total employment %,Other Industries
1980-81,10.40%,16.90%,69.80%,2.80%
1981-82,10.50%,17.20%,69.40%,2.92%
1982-83,10.60%,17.40%,69.00%,3.04%
1983-84,10.60%,17.70%,68.50%,3.21%
1984-85,10.70%,18.10%,67.70%,3.51%
1985-86,10.80%,18.40%,66.90%,3.84%
1986-87,10.90%,18.80%,66.10%,4.23%
1987-88,11.00%,19.10%,65.20%,4.68%
1988-89,10.90%,19.40%,64.90%,4.79%
1989-90,10.80%,19.70%,64.70%,4.77%
1990-91,10.70%,20.00%,64.60%,4.76%
1991-92,10.60%,20.30%,64.40%,4.75%
1992-93,10.50%,20.60%,64.20%,4.75%
1993-94,10.40%,20.90%,64.00%,4.75%
1994-95,10.40%,21.40%,63.50%,4.80%
1995-96,10.50%,21.80%,62.80%,4.88%
1996-97,10.60%,22.40%,62.10%,4.95%
1997-98,10.60%,22.90%,61.40%,5.04%
1998-99,10.70%,23.40%,60.70%,5.12%
1999-00,10.80%,24.00%,59.90%,5.21%
2000-01,10.90%,24.30%,59.30%,5.44%
2001-02,11.00%,24.60%,58.70%,5.68%
2002-03,11.10%,24.80%,58.10%,5.93%
2003-04,11.30%,25.10%,57.40%,6.19%
2004-05,11.40%,25.40%,56.70%,6.47%
2005-06,11.40%,26.00%,55.70%,6.94%
2006-07,11.50%,26.50%,54.50%,7.51%
2007-08,11.50%,27.10%,53.20%,8.13%
2008-09,11.60%,27.60%,51.90%,8.81%
2009-10,11.70%,28.20%,50.60%,9.55%
2010-11,11.70%,28.70%,49.30%,10.35%
2011-12,11.80%,29.10%,47.90%,11.22%
2012-13,11.70%,29.90%,46.90%,11.57%
2013-14,11.60%,30.70%,46.00%,11.73%
2014-15,11.60%,31.50%,45.00%,11.89%
2015-16,11.60%,32.30%,44.10%,12.06%
2016-17,11.50%,33.10%,43.10%,12.23%
2017-18,11.50%,33.90%,42.20%,12.39%
2018-19,11.20%,34.90%,41.20%,12.68%
2019-20,10.50%,34.10%,43.00%,12.39%
2020-21,10.10%,33.40%,43.90%,12.61%
2021-22,10.60%,33.50%,43.00%,12.93%
2022-23,10.60%,33.80%,42.40%,13.24%
,,,,
,,-,,
