Fortnight Date Final,Bank Credit,Food Credit,Non Food Credit
31-Jul-26,22078095,117830,21960265
15-Jul-26,21734674,120730,21613944
30-Jun-26,21930398,132049,21798349
15-Jun-26,21547116,133894,21413222
31-May-26,21515402,137005,21378397
15-May-26,21186890,116048,21070842
30-Apr-26,,103915,-103915
15-Apr-26,20917707,68489,20849218
31-Mar-26,21359897,70271,21289626
15-Mar-26,,74850,-74850
28-Feb-26,,82643,-82643
15-Feb-26,,85305,-85305
31-Jan-26,,89295,-89295
15-Jan-26,,88169,-88169
31-Dec-25,,87972,-87972
15-Dec-25,,83949,-83949
28-Nov-25,,79801,-79801
14-Nov-25,,79191,-79191
31-Oct-25,19393655,70371,19323284
17-Oct-25,19235754,52489,19183265
3-Oct-25,19261332,42659,19218673
19-Sep-25,18902861,45284,18857577
5-Sep-25,18800686,45580,18755106
22-Aug-25,18646842,50455,18596387
8-Aug-25,18606167,52281,18553886
25-Jul-25,18501377,56674,18444703
11-Jul-25,18469893,58992,18410901
27-Jun-25,18486200,64388,18421812
13-Jun-25,18313963,67605,18246358
30-May-25,18287377,70580,18216797
16-May-25,18227712,68078,18159634
2-May-25,18284957,62446,18222511
18-Apr-25,18187891,32125,18155766
4-Apr-25,18402083,29356,18372727
21-Mar-25,18243972,36531,18207441
7-Mar-25,18125413,42552,18082861
21-Feb-25,17989979,47447,17942532
7-Feb-25,17963429,53944,17909485
24-Jan-25,17868479,56178,17812301
10-Jan-25,17799394,57723,17741671
27-Dec-24,17743037,56138,17686899
13-Dec-24,17586881,52306,17534575
29-Nov-24,17508956,51254,17457702
15-Nov-24,17362818,45156,17317662
1-Nov-24,17419532,30054,17389478
18-Oct-24,17237674,18654,17219020
4-Oct-24,17297778,17801,17279977
20-Sep-24,17125052,19925,17105127
6-Sep-24,17046602,21503,17025099
23-Aug-24,16945309,24360,16920949
9-Aug-24,16880301,27931,16852370
26-Jul-24,16813935,28190,16785745
12-Jul-24,16812118,30262,16781856
28-Jun-24,16886029,33903,16852126
14-Jun-24,16706418,36923,16669495
31-May-24,16782882,40258,16742624
17-May-24,16601014,41273,16559741
3-May-24,16631720,37780,16593940
19-Apr-24,16491796,18090,16473706
5-Apr-24,16585170,21208,16563962
22-Mar-24,16432164,23080,16409084
8-Mar-24,16313559,31703,16281856
23-Feb-24,16214135,40501,16173634
9-Feb-24,16147477,46442,16101035
26-Jan-24,16043592,45618,15997974
12-Jan-24,15969926,43969,15925957
29-Dec-23,15961944,43138,15918806
15-Dec-23,15779480,42499,15736981
1-Dec-23,15825456,41693,15783763
17-Nov-23,15620807,40260,15580547
3-Nov-23,15584526,22803,15561723
20-Oct-23,15457887,19841,15438046
6-Oct-23,15337992,19279,15318713
22-Sep-23,15151314,18865,15132449
8-Sep-23,15039169,19071,15020098
25-Aug-23,14917312,19355,14897957
11-Aug-23,14860792,19930,14840862
28-Jul-23,14787123,20836,14766287
14-Jul-23,14746329,24303,14722026
30-Jun-23,14383718,27906,14355812
16-Jun-23,14023499,28732,13994767
2-Jun-23,14009695,36753,13972942
19-May-23,13893970,36349,13857621
5-May-23,13900688,33184,13867504
21-Apr-23,13859447,21292,13838155
7-Apr-23,13850556,20963,13829593
