End-period,Market Capitalisation - NSE
Jun-2026,"47,408,275"
May-2026,"46,534,794"
Apr-2026,"46,347,219"
Mar-2026,"41,125,215"
Feb-2026,"46,175,207"
Jan-2026,"45,814,430"
Dec-2025,"47,363,702"
Nov-2025,"47,209,253"
Oct-2025,"46,766,909"
Sep-2025,"44,877,977"
Aug-2025,"44,027,517"
Jul-2025,"44,697,468"
Jun-2025,"45,916,942"
May-2025,"44,201,539"
Apr-2025,"42,138,113"
Mar-2025,"41,086,929"
Feb-2025,"38,167,414"
Jan-2025,"42,122,796"
Dec-2024,"43,893,974"
Nov-2024,"44,320,060"
Oct-2024,"44,137,974"
Sep-2024,"47,064,725"
Aug-2024,"46,109,616"
Jul-2024,"45,865,878"
Jun-2024,"43,573,919"
May-2024,"40,880,530"
Apr-2024,"40,304,406"
Mar-2024,"38,421,668"
Feb-2024,"38,456,806"
Jan-2024,"37,638,048"
Dec-2023,"36,105,548"
Nov-2023,"33,264,104"
Oct-2023,"30,876,188"
Sep-2023,"31,680,851"
Aug-2023,"30,724,882"
Jul-2023,"30,482,952"
Jun-2023,"29,459,940"
May-2023,"28,181,395"
Apr-2023,"27,018,490"
Mar-2023,"25,632,704"
Feb-2023,"25,583,222"
Jan-2023,"26,802,351"
Dec-2022,"28,019,281"
Nov-2022,"28,642,985"
Oct-2022,"27,777,180"
Sep-2022,"26,977,153"
Aug-2022,"27,817,242"
Jul-2022,"26,470,031"
Jun-2022,"24,203,324"
May-2022,"25,568,863"
Apr-2022,"26,459,285"
Mar-2022,"26,181,064"
Feb-2022,"25,053,581"
Jan-2022,"26,219,159"
Dec-2021,"26,402,579"
Nov-2021,"25,537,038"
Oct-2021,"25,737,783"
Sep-2021,"25,806,565"
Aug-2021,"24,828,178"
Jul-2021,"23,355,719"
Jun-2021,"22,814,761"
May-2021,"22,151,945"
Apr-2021,"20,556,971"
Mar-2021,"20,295,813"
Feb-2021,"19,963,826"
Jan-2021,"18,474,450"
Dec-2020,"18,646,769"
Nov-2020,"17,271,314"
Oct-2020,"15,587,903"
Sep-2020,"15,304,722"
Aug-2020,"15,234,207"
Jul-2020,"14,629,659"
Jun-2020,"13,804,601"
May-2020,"12,516,960"
Apr-2020,"12,738,626"
Mar-2020,"11,243,112"
Feb-2020,"14,552,074"
Jan-2020,"15,517,107"
Dec-2019,"15,431,967"
Nov-2019,"15,315,478"
Oct-2019,"15,247,730"
Sep-2019,"14,573,003"
Aug-2019,"13,976,168"
Jul-2019,"14,005,417"
Jun-2019,"15,031,415"
May-2019,"15,254,361"
Apr-2019,"15,043,276"
Mar-2019,"14,934,227"
Feb-2019,"13,871,449"
Jan-2019,"13,916,643"
Dec-2018,"14,279,083"
Nov-2018,"14,122,535"
Oct-2018,"13,693,825"
Sep-2018,"14,292,302"
Aug-2018,"15,730,918"
Jul-2018,"15,128,449"
Jun-2018,"14,329,072"
May-2018,"14,693,260"
Apr-2018,"15,092,002"
Mar-2018,"14,044,152"
Feb-2018,"14,564,091"
Jan-2018,"15,140,453"
Dec-2017,"14,982,296"
Nov-2017,"14,392,501"
Oct-2017,"14,208,617"
Sep-2017,"13,045,716"
Aug-2017,"13,055,208"
Jul-2017,"13,121,441"
Jun-2017,"12,430,129"
May-2017,"12,416,789"
Apr-2017,"12,303,875"
Mar-2017,"11,978,421"
Feb-2017,"11,562,210"
Jan-2017,"11,047,315"
Dec-2016,"10,439,621"
Nov-2016,"10,618,012"
Oct-2016,"11,161,049"
Sep-2016,"10,866,063"
Aug-2016,"10,910,696"
Jul-2016,"10,675,211"
Jun-2016,"10,100,336"
May-2016,"9,740,551"
Apr-2016,"9,522,589"
Mar-2016,"9,310,471"
Feb-2016,"8,422,857"
Jan-2016,"9,209,386"
Dec-2015,"9,831,658"
Nov-2015,"9,675,669"
Oct-2015,"9,654,114"
Sep-2015,"9,491,609"
Aug-2015,"9,529,070"
Jul-2015,"10,168,561"
Jun-2015,"9,849,076"
May-2015,"10,020,665"
Apr-2015,"9,686,324"
Mar-2015,"9,930,122"
Feb-2015,"10,212,614"
Jan-2015,"10,100,218"
Dec-2014,"9,600,459"
Nov-2014,"9,739,570"
Oct-2014,"9,490,520"
Sep-2014,"9,172,838"
Aug-2014,"9,060,960"
Jul-2014,"8,831,139"
Jun-2014,"8,854,702"
May-2014,"8,251,346"
Apr-2014,"7,346,737"
Mar-2014,"7,277,720"
Feb-2014,"6,725,934"
Jan-2014,"6,590,785"
Dec-2013,"6,884,167"
Nov-2013,"6,644,844"
Oct-2013,"6,691,531"
Sep-2013,"6,191,626"
Aug-2013,"5,846,627"
Jul-2013,"6,098,779"
Jun-2013,"6,248,442"
May-2013,"6,518,227"
Apr-2013,"6,490,373"
Mar-2013,"6,239,035"
Feb-2013,"6,385,291"
Jan-2013,"6,858,653"
Dec-2012,"6,763,781"
Nov-2012,"6,603,005"
Oct-2012,"6,337,676"
Sep-2012,"6,431,655"
Aug-2012,"5,942,510"
Jul-2012,"5,951,540"
Jun-2012,"6,026,766"
May-2012,"5,695,547"
Apr-2012,"6,059,258"
Mar-2012,"6,096,518"
Feb-2012,"6,233,250"
Jan-2012,"5,937,039"
Dec-2011,"5,232,273"
Nov-2011,"5,547,723"
Oct-2011,"6,101,891"
Sep-2011,"5,820,334"
Aug-2011,"5,921,684"
Jul-2011,"6,462,238"
Jun-2011,"6,574,743"
May-2011,"6,569,743"
Apr-2011,"6,753,614"
Mar-2011,"6,702,616"
Feb-2011,"6,195,967"
Jan-2011,"6,441,491"
Dec-2010,"7,139,310"
Nov-2010,"6,894,912"
Oct-2010,"7,055,094"
Sep-2010,"6,958,534"
Aug-2010,"6,393,418"
Jul-2010,"6,340,120"
Jun-2010,"6,229,136"
May-2010,"5,932,578"
Apr-2010,"6,117,858"
Mar-2010,"6,009,173"
Feb-2010,"5,755,305"
Jan-2010,"5,782,965"
Dec-2009,"5,699,637"
Nov-2009,"5,430,088"
Oct-2009,"5,024,830"
Sep-2009,"5,353,880"
Aug-2009,"4,975,800"
Jul-2009,"4,816,459"
Jun-2009,"4,432,596"
May-2009,"4,564,572"
Apr-2009,"3,375,025"
Mar-2009,"2,896,194"
Feb-2009,"2,675,622"
Jan-2009,"2,798,707"
Dec-2008,"2,916,768"
Nov-2008,"2,653,281"
Oct-2008,"2,820,388"
Sep-2008,"3,900,185"
Aug-2008,"4,472,461"
Jul-2008,"4,432,427"
Jun-2008,"4,103,651"
May-2008,"5,098,873"
Apr-2008,"5,442,780"
Mar-2008,"4,858,122"
Feb-2008,"5,419,942"
Jan-2008,"5,295,387"
Dec-2007,"6,543,272"
Nov-2007,"5,876,742"
Oct-2007,"5,722,227"
Sep-2007,"4,886,561"
Aug-2007,"4,296,994"
Jul-2007,"4,317,571"
Jun-2007,"3,978,381"
May-2007,"3,898,078"
Apr-2007,"3,650,368"
Mar-2007,"3,367,350"
Feb-2007,"3,296,931"
Jan-2007,"3,571,487"
Dec-2006,"3,426,236"
Nov-2006,"3,373,652"
Oct-2006,"3,138,319"
Sep-2006,"2,994,132"
Aug-2006,"2,777,401"
Jul-2006,"2,514,261"
Jun-2006,"2,524,659"
May-2006,"2,612,639"
Apr-2006,"2,990,200"
Mar-2006,"2,813,201"
Feb-2006,"2,512,083"
Jan-2006,"2,434,395"
Dec-2005,"2,322,392"
Nov-2005,"2,166,823"
Oct-2005,"1,927,645"
Sep-2005,"2,098,263"
Aug-2005,"1,957,491"
Jul-2005,"1,848,740"
Jun-2005,"1,727,502"
May-2005,"1,654,995"
Apr-2005,"1,517,908"
Mar-2005,"1,585,585"
Feb-2005,"1,614,597"
Jan-2005,"1,557,444"
Dec-2004,"1,579,161"
Nov-2004,"1,446,292"
Oct-2004,"1,253,825"
Sep-2004,"1,227,550"
Aug-2004,"1,143,075"
Jul-2004,"1,066,087"
Jun-2004,"979,700"
May-2004,"950,494"
Apr-2004,"1,171,828"
Mar-2004,"1,120,976"
Feb-2004,"1,110,954"
Jan-2004,"1,116,150"
Dec-2003,"1,167,029"
Nov-2003,"979,541"
Oct-2003,"926,748"
Sep-2003,"863,481"
Aug-2003,"836,651"
Jul-2003,"719,145"
Jun-2003,"678,550"
May-2003,"612,030"
Apr-2003,"530,630"
Mar-2003,"537,133"
Feb-2003,"581,985"
Jan-2003,"572,277"
Dec-2002,"672,862"
Nov-2002,"645,388"
Oct-2002,"606,788"
Sep-2002,"599,603"
Aug-2002,"632,618"
Jul-2002,"608,643"
Jun-2002,"659,991"
May-2002,"631,609"
Apr-2002,"649,551"
Mar-2002,"636,861"
Feb-2002,"621,523"
Jan-2002,"563,683"
Dec-2001,"552,908"
Nov-2001,"581,386"
Oct-2001,"535,846"
Sep-2001,"509,105"
Aug-2001,"575,242"
Jul-2001,"574,260"
Jun-2001,"569,797"
May-2001,"592,437"
Apr-2001,"653,720"
Mar-2001,"657,847"
Feb-2001,"789,600"
Jan-2001,"807,641"
Dec-2000,"760,391"
Nov-2000,"764,177"
Oct-2000,"707,121"
Sep-2000,"730,350"
Aug-2000,"794,516"
Jul-2000,"746,402"
Jun-2000,"852,554"
May-2000,"790,478"
Apr-2000,"846,391"
Mar-2000,"1,020,426"
Feb-2000,"1,069,770"
Jan-2000,"951,712"
Dec-1999,"852,985"
Nov-1999,"726,419"
Oct-1999,"670,062"
Sep-1999,"686,740"
Aug-1999,"668,187"
