Dates,Repo
5/12/25,5.25
29-11-2025,N/A
1/11/25,N/A
4/10/25,N/A
6/9/25,N/A
6/6/25,5.5
9/4/25,6
7/2/25,6.25
28-12-2024,N/A
14-12-2024,N/A
8/2/23,6.5
7/12/22,6.25
30-09-2022,5.9
5/8/22,5.4
8/6/22,4.9
21-05-2022,N/A
4/5/22,4.4
8/4/22,N/A
22-05-2021,N/A
27-03-2021,N/A
22-05-2020,4
17-04-2020,4.4
11/4/20,N/A
28-03-2020,N/A
27-03-2020,4.4
4/1/20,N/A
12/10/19,N/A
4/10/19,5.15
7/8/19,5.4
6/7/19,N/A
6/6/19,5.75
13-04-2019,N/A
4/4/19,6
7/2/19,6.25
5/1/19,N/A
1/8/18,6.5
6/6/18,6.25
14-10-2017,N/A
2/8/17,6
24-06-2017,N/A
6/4/17,N/A
7/1/17,N/A
4/10/16,6.25
1/10/16,N/A
9/7/16,N/A
5/4/16,6.5
2/4/16,N/A
29-09-2015,6.75
2/6/15,7.25
4/3/15,7.5
7/2/15,N/A
15-01-2015,7.75
9/8/14,N/A
14-06-2014,N/A
28-01-2014,8
29-10-2013,7.75
7/10/13,N/A
20-09-2013,7.5
15-07-2013,N/A
3/5/13,7.25
19-03-2013,7.5
9/2/13,N/A
29-01-2013,7.75
3/11/12,N/A
22-09-2012,N/A
11/8/12,N/A
17-04-2012,8
10/3/12,N/A
13-02-2012,N/A
28-01-2012,N/A
25-10-2011,8.5
16-09-2011,8.25
26-07-2011,8
16-06-2011,7.5
3/5/11,7.25
17-03-2011,6.75
25-01-2011,6.5
18-12-2010,N/A
2/11/10,6.25
16-09-2010,6
27-07-2010,5.75
2/7/10,5.5
24-04-2010,N/A
20-04-2010,5.25
19-03-2010,5
27-02-2010,N/A
13-02-2010,N/A
7/11/09,N/A
21-04-2009,4.75
5/3/09,5
17-01-2009,N/A
5/1/09,5.5
8/12/08,6.5
8/11/08,N/A
3/11/08,7.5
25-10-2008,N/A
20-10-2008,8
11/10/08,N/A
30-08-2008,N/A
30-07-2008,9
19-07-2008,N/A
5/7/08,N/A
25-06-2008,8.5
12/6/08,8
24-05-2008,N/A
10/5/08,N/A
26-04-2008,N/A
10/11/07,N/A
4/8/07,N/A
28-04-2007,N/A
14-04-2007,N/A
31-03-2007,7.75
3/3/07,N/A
17-02-2007,N/A
31-01-2007,7.5
6/1/07,N/A
23-12-2006,N/A
31-10-2006,7.25
25-07-2006,7
8/6/06,6.75
24-01-2006,6.5
26-10-2005,6.25
29-04-2005,N/A
27-10-2004,N/A
2/10/04,N/A
18-09-2004,N/A
31-03-2004,6
25-08-2003,N/A
14-06-2003,N/A
29-04-2003,N/A
19-03-2003,7
7/3/03,7.1
3/3/03,N/A
16-11-2002,N/A
12/11/02,7.5
29-10-2002,N/A
27-06-2002,N/A
1/6/02,N/A
28-03-2002,8
5/3/02,N/A
29-12-2001,N/A
3/11/01,N/A
23-10-2001,N/A
7/6/01,8.5
28-05-2001,N/A
19-05-2001,N/A
30-04-2001,8.75
27-04-2001,9
