Year,GDP,GDP per capita,Manufacturing value added (percent of GDP),Other Manufacturing value added (percent of GDP),Services value added (percent of GDP),Agriculture forestry and fishing value added (percent of GDP),FDI (net inflows in $),Inflation consumer prices (annual percent),Unemployment (percent of total labor force),Labor force participation rate (percent of total population ages 15-64),Employment in agriculture (percent of total employment),Employment in services (percent of total employment),Employment in industry (percent of total employment),Bank nonperforming loans to total gross loans (percent),Market capitalization of listed domestic companies (current US$),Domestic credit to private sector (percent of GDP),Gross National Savings (percent of GDP),Period,Manufacturing share in total employment percent,Services share in total employment percent,Agriculture share in total employment percent,Other Industries,Start_Date
1960,37029883876,84.93280848,14.75011809,,38.78246175,41.74133512,,1.779877847,,,,,,,,7.843132628,,1947–1991,,,,,
1961,39232435784,87.85386135,15.35383648,,38.3258752,41.0924822,,1.695212939,,,,,,,,8.516176155,,1947–1991,,,,,
1962,42161481858,92.19995836,15.86329813,,39.93584497,39.0659688,,3.632214971,,,,,,,,8.980480807,,1947–1991,,,,,
1963,48421923459,103.4350213,15.75238835,37.13338434,38.0951803,39.82535168,,2.946161357,,,,,,,,9.10745401,,1947–1991,,,,,
1964,56480289941,117.8564308,14.85073996,36.55121592,36.34082146,41.34371671,,13.35526115,,,,,,,,8.536791909,,1947–1991,,,,,
1965,59556105229,121.508319,15.01090777,35.94095083,37.45073819,39.38469726,,9.474758592,,,,,,,,9.270091621,,1947–1991,,,,,
1966,45581230504,91.02769505,14.50399297,37.4247949,36.45979666,40.35165124,,10.80184835,,,,,,,,9.515407718,,1947–1991,,,,,
1967,50134942204,97.99514812,13.23186125,37.21657201,34.60955551,42.75155802,,13.06220248,,,,,,,,9.116728704,,1947–1991,,,,,
1968,53085455871,101.5568025,13.52278801,36.82001548,35.05413136,42.08602738,,3.237412426,,,,,,,,9.820643428,,1947–1991,,,,,
1969,58447995017,109.4776644,14.14647158,36.88296718,34.30585261,41.58492358,,-0.58413661,,,,,,,,10.40012864,,1947–1991,,,,,
1970,62422483055,114.35532,14.45654509,38.6078253,35.04687086,40.28961346,45460000,5.09226162,,,,,,,,11.2365497,,1947–1991,,,,,
1971,67351404352,120.6805955,14.98228674,35.71498901,35.80364908,38.63339119,47659999.9,3.079938684,,,,,,,,12.49343793,,1947–1991,,,,,
1972,71464700667,125.270706,15.10254938,36.38092687,35.52165492,38.6268263,17789999.9,6.442097462,,,,,,,,12.92235768,,1947–1991,,,,,
1973,85517673173,146.5684926,15.01528531,37.33270114,32.94770562,41.60382462,37909999.9,16.94081598,,,,,,,,13.09386383,,1947–1991,,,,,
1974,99526597934,166.6996618,16.34591338,37.33913885,33.61059595,38.8780587,56969999.9,28.59873408,,,,,,,,12.91379979,,1947–1991,,,,,
1975,98473832017,161.086694,15.83848666,39.6204107,35.1392414,35.99691484,-10326246.71,5.748430298,,,,,,,,14.93373333,,1947–1991,,,,,
1976,1.03E+11,164.1199996,16.26588883,39.48324253,35.80372322,34.31203671,-7706430.543,-7.633947634,,,,,,,,17.8877017,,1947–1991,,,,,
1977,1.21E+11,189.5855686,16.08086893,37.94331668,34.66144961,35.77714426,-36060000,8.307470092,,,,,,,,18.04178519,,1947–1991,,,,,
1978,1.37E+11,209.3890636,17.09644052,35.73435536,34.93936473,34.27396271,18090000,2.523048757,,,,,,,,19.6954207,,1947–1991,,,,,
1979,1.53E+11,227.9581799,17.85203449,36.4291178,35.52141473,32.82553002,48570000,6.275683368,,,,,,,,20.95673624,,1947–1991,,,,,
1980,1.86E+11,271.080946,16.7523758,38.54847958,33.80725874,34.40886781,79159999.9,11.34607348,,,,,,,,20.54345895,17.387189,1947–1991,,,,,
1981,1.93E+11,274.9643308,16.77044375,40.12750999,33.87161864,33.29769742,91920000,13.1125469,,,,,,,,21.22546245,17.390149,1947–1991,,,,,
1982,2.01E+11,278.6503826,16.36999594,41.55521863,34.89683728,32.32674969,72079999.9,7.890742794,,,,,,,,22.68789892,17.501397,1947–1991,,,,,
1983,2.18E+11,295.9997733,16.66445469,38.63792891,34.52160063,32.60653488,5639999.9,11.8680813,,,,,,,,22.89266876,16.907718,1947–1991,,,,,
1984,2.12E+11,281.0498678,16.7078036,40.26425396,35.42081608,31.38053041,19239999.9,8.318907119,,,,,,,,24.28257464,18.155518,1947–1991,,,,,
1985,2.33E+11,300.9282586,16.41801286,40.68546791,36.11499977,29.71813836,106090000,5.556424232,,,,,,,,24.56366516,20.213696,1947–1991,,,,,
1986,2.49E+11,314.8971164,16.22158381,39.39087233,36.98846784,28.64114627,117730000,8.729720727,,,,,,,,25.8010011,19.903904,1947–1991,,,,,
1987,2.79E+11,344.9410283,16.20954935,42.5486279,37.45227949,27.9723784,212319999.9,8.801125813,,,,,,,,25.38235951,21.917985,1947–1991,,,,,
1988,2.97E+11,358.4845396,16.10153485,44.46574517,36.79644551,28.76982237,91250000,9.383471862,,,,,,,,25.27511744,22.282487,1947–1991,,,,,
1989,2.96E+11,349.915155,16.9028459,40.2605103,37.22939798,27.8396058,252099999.9,7.074280029,,,,,,,,26.58981401,23.631017,1947–1991,,,,,
1990,3.21E+11,371.0859362,16.59759644,41.73878997,37.04478519,27.58488814,236690000,8.971232503,,59.89,,,,,,24.91645657,25.173389,1947–1991,,,,,
1991,2.70E+11,305.5740559,15.67626016,39.90073421,37.78569002,27.66270541,73537638.39,13.87024618,7.641,59.936,63.12831954,22.28673631,14.5849373,,,23.82174445,23.152917,1947–1991,,,,,
1992,2.88E+11,319.1824726,15.80079982,40.55061378,37.91256818,26.89691945,276512439,11.78781704,7.649,59.985,62.89833364,22.43885447,14.66280554,,,24.69824025,23.216525,1991–2003,,,,,
1993,2.79E+11,302.8848062,15.91571211,39.55531436,38.49068492,27.05455877,550370024.9,6.326890488,7.662,60.035,62.66306381,22.57667581,14.76026071,,,23.83205539,23.59191,1991–2003,,,,,
1994,3.27E+11,347.7342147,16.76413813,40.17220774,37.49630234,26.51993758,973271468.7,10.24793556,7.593,60.092,62.37124038,22.77740935,14.85135027,,,23.6473414,25.722884,1991–2003,,,,,
1995,3.60E+11,375.1760054,17.8658506,40.46240219,37.84966812,24.45754779,2143628110,10.22488616,7.57,60.471,61.97442848,23.02508852,15.00048301,,,22.5107747,25.710982,1991–2003,,,,,
1996,3.93E+11,401.0467547,17.5963408,38.43784965,37.70932947,25.19930606,2426057022,8.977152338,7.537,60.852,61.51338086,23.21536009,15.27125906,,,23.40244204,24.478996,1991–2003,,,,,
1997,4.16E+11,416.2281162,16.51857853,40.87540014,39.07955152,24.24867451,3577330042,7.164252115,7.574,61.237,61.15862545,23.36876626,15.4726083,,,23.55532535,26.341837,1991–2003,,,,,
1998,4.21E+11,413.6308641,15.71931602,36.5758334,40.13256873,24.18045155,2634651658,13.23083898,7.596,61.625,60.64795746,23.55713304,15.7949095,,,23.67774686,25.228241,1991–2003,,,,,
1999,4.59E+11,441.9279914,15.18053671,37.06916097,41.96573779,22.97256189,2168591054,4.66982038,7.583,62.014,59.87802668,23.81254104,16.30942847,,,25.42286221,29.933541,1991–2003,,,,,
2000,4.68E+11,442.7502189,15.92702302,37.52290686,42.73292664,21.61106205,3584217307,4.00943591,7.589,62.401,59.6073101,24.05133016,16.34135974,,2.26E+11,28.33955116,25.107594,1991–2003,,,,,
2001,4.85E+11,450.3579005,15.30702128,38.59039085,43.80896126,21.61888489,5128093562,3.779293122,7.611,62.253,58.89080922,24.35635602,16.7528345,,1.49E+11,28.61941543,30.610335,1991–2003,,,,,
2002,5.15E+11,469.149929,15.55870173,42.43239138,44.72882755,19.53454327,5208967106,4.297152039,7.681,62.104,58.20785645,24.73541692,17.05672688,,1.72E+11,32.30648907,31.482566,1991–2003,,,,,
2003,6.08E+11,544.1431335,15.58738665,45.06758612,44.70464565,19.59199798,3681984671,3.805858995,7.633,61.955,57.16465054,25.14153537,17.69380665,,3.09E+11,31.62626562,33.156685,1991–2003,,,,,
2004,7.09E+11,624.2588265,15.82724574,48.71546213,44.11485897,17.81469065,5429250990,3.767251735,7.598,61.8,55.99945732,25.58206319,18.41847948,,4.16E+11,36.19180385,34.747993,2003–2014,,,,,
2005,8.20E+11,710.4880804,15.97301704,47.01917652,44.44293292,17.62020695,7269407226,4.24634362,7.551,61.646,55.02045331,25.97831492,19.00123177,4.401785594,6.25E+11,40.06798048,36.222498,2003–2014,,,,,
2006,9.40E+11,801.6683537,17.30365333,49.61183303,44.04323571,16.80944209,20029119267,5.796523376,7.553,60.664,54.2730179,26.20309067,19.52389143,,8.95E+11,43.62775243,37.981489,2003–2014,,,,,
2007,1.22E+12,1021.887077,16.86456778,54.29940492,44.00815792,16.75011976,25227740887,6.372881356,7.562,59.7,53.36886844,26.30920926,20.32191455,,1.96E+12,45.62776475,40.657984,2003–2014,,,,,
2008,1.20E+12,992.5195849,17.09867415,49.48151673,45.88254991,16.79094236,43406277076,8.349267049,7.629,58.759,52.8791884,26.36936385,20.75144775,2.449712061,7.91E+11,49.55936669,36.094652,2003–2014,,,,,
2009,1.34E+12,1094.949746,17.14357767,47.61809171,45.98488281,16.74427016,35581372930,10.88235294,7.636,57.843,51.94442662,26.49202312,21.56355795,,1.37E+12,48.12444791,36.39225,2003–2014,,,,,
2010,1.68E+12,1347.519391,17.02993425,47.74536217,45.03374956,17.02650901,27396885034,11.98938992,7.631,56.953,51.05607024,26.56603513,22.37788884,,1.76E+12,50.55537498,36.928476,2003–2014,,,,,
2011,1.82E+12,1445.461275,16.13933744,46.16238515,45.44214525,17.19197356,36498654598,8.911793365,7.609,56.314,49.07530592,27.37731953,23.54738213,2.670195015,1.24E+12,51.28923313,35.402062,2003–2014,,,,,
2012,1.83E+12,1429.321995,15.81692301,45.60021846,46.3011473,16.84537707,23995685014,9.478996914,7.645,55.693,47.08815446,28.21981508,24.69203796,3.373953917,1.39E+12,51.88850765,33.573154,2003–2014,,,,,
2013,1.86E+12,1432.843975,15.25302269,46.98321498,46.69871477,17.14842354,28153031270,10.01787847,7.678,55.608,46.24188398,29.00344397,24.75467384,4.027728635,1.27E+12,52.38570952,32.409306,2003–2014,,,,,
2014,2.04E+12,1553.883961,15.06557011,46.61638369,47.82241376,16.79193451,34576643694,6.665656719,7.656,55.518,45.25471112,29.84927368,24.8960152,4.345849763,1.69E+12,51.88218736,33.073998,2003–2014,,,,,
2015,2.10E+12,1583.998159,15.58385459,42.22248969,47.78374812,16.17450811,44009492130,4.906973441,7.629,55.422,44.27969369,30.77223582,24.94807049,5.883522274,1.75E+12,51.86752408,31.254343,2014–present,,,,,
2016,2.29E+12,1707.508929,15.16223713,43.4157141,47.74940129,16.36380056,44458571546,4.948216341,7.611,55.326,43.20485059,31.60566337,25.18947838,9.185655918,1.75E+12,38.20365079,29.870852,2014–present,,,,,
2017,2.65E+12,1950.104683,15.01823875,43.28910134,47.67088997,16.5583314,39966091359,3.328173375,7.626,55.23,42.26710647,32.46716514,25.26572273,9.975282064,2.56E+12,38.17071386,29.451957,2014–present,,,,,
2018,2.70E+12,1966.254552,14.88153067,39.48269163,48.43156632,16.03163069,42117450737,3.938826467,7.652,55.13,41.29499892,33.3391273,25.36587378,9.460956912,4.14E+12,38.8975254,30.601897,2014–present,,,,,
2019,2.84E+12,2041.428637,13.45580756,37.94181227,50.08495785,16.7555683,50610647354,3.729505735,6.51,55.026,40.651815,34.09707397,25.25111305,9.234428991,2.16E+12,38.73794498,29.790404,2014–present,,,,,
2020,2.67E+12,1907.042516,14.12048536,40.21342216,47.93268811,18.66853766,64362364994,6.623436776,7.859,54.374,44.6754952,31.62085727,23.70364753,7.938830725,2.55E+12,40.78678486,30.465636,2014–present,,,,,
2021,3.17E+12,2239.613844,14.37702885,44.4347322,47.84722346,17.37256153,44727277563,5.131407472,6.38,55.481,44.07918689,31.45032711,24.47047862,6.54245583,3.55E+12,36.89208851,31.506474,2014–present,,,,,
2022,3.25E+12,2279.981457,13.33272026,43.20067743,47.17275194,18.21066599,49940258404,6.699034141,4.822,56.666,42.86099915,31.01866669,26.12033416,4.811884546,3.39E+12,38.18597636,32.350889,2014–present,,,,,
2023,3.50E+12,2434.448263,13.31284388,41.94830512,47.5864648,17.65653893,28086193530,5.649143189,4.172,57.925,43.51358112,31.45720728,25.0292116,3.358903196,4.34E+12,40.8940759,33.760986,2014–present,,,,,
2024,3.76E+12,2591.991661,13.13921995,,47.97062707,17.57357995,27139853378,4.95303551,4.173,58.991,42.35477389,32.27430974,25.37092597,2.500443666,5.13E+12,41.60796943,33.735803,2014–present,,,,,
2025,3.96E+12,2702.479871,13.47105507,,49.33771508,16.23424839,39097233086,2.398849542,4.219,59.11,41.62512809,32.5575625,25.81730738,2.062835695,1.06E+13,44.02509034,32.930228,2014–present,,,,,
2026,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1980-81,10.4,16.9,69.8,2.8,4/1/80
,,,,,,,,,,,,,,,,,,1981-82,10.5,17.2,69.4,2.92,4/1/81
,,,,,,,,,,,,,,,,,,1982-83,10.6,17.4,69,3.04,4/1/82
,,,,,,,,,,,,,,,,,,1983-84,10.6,17.7,68.5,3.21,4/1/83
,,,,,,,,,,,,,,,,,,1984-85,10.7,18.1,67.7,3.51,4/1/84
