Year,GDP,GDP per capita,Manufacturing value added (% of GDP),Other Manufacturing value added (% of GDP),Services value added (% of GDP),"Agriculture, forestry and fishing value added (% of GDP)",FDI (net inflows in $),Inflation consumer prices (annual %),Unemployment (% of total labor force),Labor force participation rate (% of total population ages 15-64),Employment in agriculture (% of total employment),Employment in services (% of total employment),Employment in industry (% of total employment),Bank nonperforming loans to total gross loans (%),Market capitalization of listed domestic companies (current US$),Domestic credit to private sector (% of GDP),Gross National Savings (% of GDP),Period
1960-01-01,37029883876.1839,84.9328084793106,14.7501180851245,,38.7824617546992,41.7413351234112,,1.77987784677391,,,,,,,,7.84313262772837,,1947–1991
1961-01-01,39232435784.0358,87.8538613470205,15.3538364833701,,38.3258751959846,41.0924821982676,,1.69521293914433,,,,,,,,8.51617615458605,,1947–1991
1962-01-01,42161481858.0819,92.1999583629516,15.8632981306598,,39.9358449722433,39.0659687962891,,3.63221497106987,,,,,,,,8.98048080721811,,1947–1991
1963-01-01,48421923459.1235,103.435021262932,15.7523883535285,37.1333843407294,38.0951802993762,39.825351677532,,2.94616135685225,,,,,,,,9.10745401042819,,1947–1991
1964-01-01,56480289940.9899,117.856430772855,14.8507399615767,36.551215917465,36.340821458647,41.3437167110651,,13.3552611508153,,,,,,,,8.53679190854436,,1947–1991
1965-01-01,59556105229.0052,121.50831902883,15.0109077671991,35.9409508311054,37.4507381940725,39.3846972550148,,9.47475859170695,,,,,,,,9.27009162146605,,1947–1991
1966-01-01,45581230504.071,91.0276950517841,14.5039929678896,37.4247948951686,36.4597966556112,40.3516512369392,,10.8018483489341,,,,,,,,9.51540771795407,,1947–1991
1967-01-01,50134942204.0,97.9951481214155,13.2318612541203,37.2165720072205,34.6095555073409,42.7515580248472,,13.062202477797,,,,,,,,9.11672870404146,,1947–1991
1968-01-01,53085455870.6667,101.556802521195,13.5227880138949,36.8200154842916,35.054131363846,42.0860273767475,,3.23741242627507,,,,,,,,9.82064342827666,,1947–1991
1969-01-01,58447995017.3333,109.477664384288,14.146471583296,36.8829671819908,34.3058526097493,41.5849235838776,,-0.584136610466281,,,,,,,,10.4001286354887,,1947–1991
1970-01-01,62422483054.6667,114.35532002008,14.4565450929442,38.6078252957234,35.0468708624974,40.2896134622547,45460000.0,5.09226161997545,,,,,,,,11.2365497014764,,1947–1991
1971-01-01,67351404351.833,120.680595539912,14.9822867425754,35.7149890052184,35.8036490825433,38.6333911913009,47659999.9,3.07993868406546,,,,,,,,12.4934379258298,,1947–1991
1972-01-01,71464700666.9869,125.270705961882,15.102549377401,36.3809268684704,35.5216549188878,38.6268263019613,17789999.9,6.44209746158235,,,,,,,,12.9223576801012,,1947–1991
1973-01-01,85517673172.5513,146.568492582405,15.0152853129175,37.3327011358003,32.947705615035,41.6038246201552,37909999.9,16.9408159791736,,,,,,,,13.0938638341127,,1947–1991
1974-01-01,99526597933.6331,166.699661755332,16.3459133787071,37.3391388485728,33.6105959521083,38.8780587034235,56969999.9,28.5987340775089,,,,,,,,12.9137997938057,,1947–1991
1975-01-01,98473832017.3242,161.086694022079,15.8384866597931,39.6204107031736,35.1392413952858,35.9969148408834,-10326246.7051639,5.74843029767442,,,,,,,,14.9337333299206,,1947–1991
1976-01-01,102716451979.68,164.119999587322,16.2658888327907,39.4832425293049,35.8037232155147,34.3120367117561,-7706430.54257424,-7.63394763392881,,,,,,,,17.8877016985182,,1947–1991
1977-01-01,121486641441.309,189.585568552477,16.0808689293586,37.9433166835947,34.6614496116454,35.777144264307,-36060000.0,8.30747009171166,,,,,,,,18.0417851880559,,1947–1991
1978-01-01,137302319828.995,209.389063573463,17.0964405197176,35.7343553594755,34.9393647294725,34.2739627109778,18090000.0,2.52304875695179,,,,,,,,19.6954206973289,,1947–1991
1979-01-01,152995442497.709,227.958179873426,17.852034489291,36.4291177970423,35.5214147292532,32.8255300200485,48570000.0,6.27568336762338,,,,,,,,20.9567362383734,,1947–1991
1980-01-01,186328579302.068,271.080945953678,16.7523757975509,38.548479577061,33.8072587357083,34.4088678062413,79159999.9,11.3460734795095,,,,,,,,20.5434589538871,17.387189,1947–1991
1981-01-01,193491368445.573,274.964330768528,16.7704437520438,40.127509990217,33.8716186357614,33.2976974188253,91920000.0,13.112546897642,,,,,,,,21.2254624473987,17.390149,1947–1991
1982-01-01,200715624830.902,278.65038258267,16.3699959373704,41.5552186288673,34.8968372777428,32.3267496865056,72079999.9,7.89074279377487,,,,,,,,22.6878989175431,17.501397,1947–1991
1983-01-01,218262146413.158,295.999773299382,16.6644546925096,38.6379289140327,34.5216006305407,32.6065348775622,5639999.9,11.8680812986734,,,,,,,,22.8926687647968,16.907718,1947–1991
1984-01-01,212157645177.652,281.049867840717,16.7078036003209,40.2642539618474,35.4208160849618,31.3805304117853,19239999.9,8.31890711860072,,,,,,,,24.2825746445338,18.155518,1947–1991
1985-01-01,232511554840.372,300.928258576378,16.4180128626663,40.6854679136031,36.1149997720489,29.7181383564993,106090000.0,5.55642423236554,,,,,,,,24.5636651595543,20.213696,1947–1991
1986-01-01,248985994040.59,314.897116402542,16.2215838096135,39.3908723303829,36.9884678356446,28.6411462697276,117730000.0,8.72972072702581,,,,,,,,25.8010010963318,19.903904,1947–1991
1987-01-01,279033584092.223,344.941028293075,16.2095493538891,42.5486279045316,37.4522794922894,27.9723784011745,212319999.9,8.80112581251833,,,,,,,,25.3823595128242,21.917985,1947–1991
1988-01-01,296589670895.932,358.484539641693,16.1015348492608,44.4657451658464,36.7964455054322,28.7698223693608,91250000.0,9.38347186185336,,,,,,,,25.2751174407626,22.282487,1947–1991
1989-01-01,296042052944.66,349.915155021864,16.9028458965669,40.2605102991185,37.2293979795496,27.8396057996888,252099999.9,7.07428002942296,,,,,,,,26.5898140097507,23.631017,1947–1991
1990-01-01,320979026420.035,371.085936203765,16.597596442222,41.7387899675388,37.0447851946481,27.5848881365411,236690000.0,8.97123250273255,,59.89,,,,,,24.9164565697186,25.173389,1947–1991
1991-01-01,270105341879.226,305.574055928592,15.6762601605127,39.9007342106546,37.7856900237179,27.6627054102247,73537638.388533,13.8702461773683,7.641,59.936,63.1283195373591,22.2867363071309,14.5849373001575,,,23.8217444526828,23.152917,1947–1991
1992-01-01,288208070278.013,319.182472626315,15.8007998170807,40.5506137849789,37.9125681820607,26.8969194477949,276512438.973893,11.7878170418134,7.649,59.985,62.8983336367001,22.4388544747388,14.6628055390629,,,24.6982402507395,23.216525,1991–2003
1993-01-01,279295648982.529,302.884806246174,15.9157121078439,39.5553143587897,38.4906849170226,27.0545587671255,550370024.929383,6.32689048779867,7.662,60.035,62.6630638065269,22.5766758080731,14.7602607112643,,,23.8320553867162,23.59191,1991–2003
1994-01-01,327274843459.429,347.73421473994,16.764138131312,40.1722077404716,37.4963023409284,26.519937575032,973271468.722873,10.2479355556119,7.593,60.092,62.3712403783223,22.7774093530333,14.8513502686444,,,23.6473414046455,25.722884,1991–2003
1995-01-01,360281909643.489,375.17600537305,17.8658505968554,40.4624021888942,37.8496681189619,24.4575477898552,2143628110.28391,10.2248861637545,7.57,60.471,61.9744284767541,23.0250885170126,15.0004830062333,,,22.5107747023582,25.710982,1991–2003
1996-01-01,392896866204.516,401.046754673579,17.5963408006414,38.4378496456924,37.709329473598,25.199306058679,2426057021.91092,8.97715233826453,7.537,60.852,61.5133808555238,23.2153600889989,15.2712590554772,,,23.4024420368578,24.478996,1991–2003
1997-01-01,415867563592.829,416.228116203753,16.5185785304333,40.875400142887,39.0795515246162,24.248674505748,3577330042.34585,7.16425211462721,7.574,61.237,61.1586254457877,23.3687662577929,15.4726082964194,,,23.5553253462263,26.341837,1991–2003
1998-01-01,421351317224.941,413.630864056851,15.7193160164939,36.5758333963309,40.1325687271653,24.180451549085,2634651657.7714,13.2308389767977,7.596,61.625,60.647957461241,23.5571330359981,15.7949095027609,,,23.6777468578745,25.228241,1991–2003
1999-01-01,458821052615.79,441.927991436397,15.1805367132738,37.0691609672757,41.9657377868543,22.9725618865025,2168591054.37924,4.6698203803759,7.583,62.014,59.8780266801724,23.8125410413714,16.309428466053,,,25.4228622073471,29.933541,1991–2003
2000-01-01,468395521654.458,442.750218937263,15.9270230184323,37.522906857542,42.7329266435537,21.6110620465121,3584217307.18755,4.0094359104519,7.589,62.401,59.607310099104,24.0513301566929,16.341359744203,,225648371926.192,28.3395511575183,25.107594,1991–2003
2001-01-01,485440139204.171,450.357900514128,15.3070212831531,38.5903908503854,43.8089612621243,21.6188848861438,5128093561.62688,3.77929312235637,7.611,62.253,58.8908092207151,24.356356017476,16.7528345033409,,148771635310.213,28.6194154254102,30.610335,1991–2003
2002-01-01,514939140318.756,469.149928973927,15.5587017262956,42.4323913827015,44.7288275521667,19.5345432709546,5208967106.27894,4.29715203929562,7.681,62.104,58.2078564520654,24.7354169170179,17.0567268841005,,172185662293.275,32.3064890735537,31.482566,1991–2003
2003-01-01,607700687237.318,544.143133545002,15.587386648646,45.0675861201994,44.7046456542143,19.5919979784251,3681984671.43428,3.80585899528853,7.633,61.955,57.1646505429386,25.1415353719471,17.6938066486046,,308994959404.34,31.6262656186491,33.156685,1991–2003
2004-01-01,709152728830.775,624.258826510066,15.8272457405027,48.7154621327495,44.1148589722471,17.8146906487994,5429250989.85717,3.76725173477517,7.598,61.8,55.9994573237763,25.5820631919076,18.4184794843161,,415544312810.501,36.1918038545968,34.747993,2003–2014
2005-01-01,820383763511.445,710.488080408949,15.9730170446131,47.0191765164423,44.4429329227804,17.6202069548839,7269407225.61438,4.24634362031924,7.551,61.646,55.0204533123109,25.9783149220993,19.0012317655898,4.4017855944882,624739583185.705,40.0679804780573,36.222498,2003–2014
2006-01-01,940259888787.721,801.668353659022,17.3036533311925,49.611833027483,44.043235711462,16.8094420944381,20029119267.1396,5.79652337561634,7.553,60.664,54.2730178999296,26.20309067095,19.5238914291204,,895269881903.849,43.6277524334268,37.981489,2003–2014
2007-01-01,1216736438834.96,1021.88707706826,16.8645677754068,54.2994049221119,44.0081579238245,16.7501197597569,25227740886.6819,6.37288135593231,7.562,59.7,53.3688684377217,26.309209260168,20.3219145451672,,1961859187266.62,45.6277647457138,40.657984,2003–2014
2008-01-01,1198895139005.92,992.519584923828,17.0986741489578,49.4815167349079,45.8825499068249,16.7909423598037,43406277075.8108,8.34926704907575,7.629,58.759,52.8791883959001,26.3693638512179,20.751447752882,2.44971206075607,791308008892.428,49.559366687116,36.094652,2003–2014
2009-01-01,1341888016994.9,1094.94974598436,17.1435776672846,47.6180917066077,45.9848828116978,16.7442701563161,35581372929.6641,10.8823529411764,7.636,57.843,51.9444266180638,26.4920231164018,21.5635579497653,,1367309893276.08,48.1244479112046,36.39225,2003–2014
2010-01-01,1675615519484.96,1347.51939071367,17.0299342498624,47.7453621738719,45.0337495625601,17.0265090136912,27396885033.7838,11.9893899204245,7.631,56.953,51.056070239905,26.5660351341417,22.3778888372942,,1762461862598.93,50.5553749785224,36.928476,2003–2014
2011-01-01,1823051829894.55,1445.46127486037,16.1393374446289,46.1623851480629,45.4421452512796,17.191973558015,36498654597.8589,8.9117933648336,7.609,56.314,49.0753059155876,27.3773195279181,23.5473821255696,2.67019501469286,1244598654109.59,51.2892331325447,35.402062,2003–2014
2012-01-01,1827637590410.41,1429.32199520032,15.8169230071066,45.6002184573345,46.3011472980511,16.8453770661356,23995685014.2141,9.47899691419793,7.645,55.693,47.0881544623322,28.2198150791246,24.6920379635984,3.37395391664123,1390416295254.81,51.8885076473464,33.573154,2003–2014
2013-01-01,1856721507621.58,1432.84397512195,15.253022692586,46.9832149809161,46.6987147692338,17.1484235433697,28153031270.3202,10.0178784746104,7.678,55.608,46.2418839816327,29.0034439664578,24.7546738405335,4.0277286350163,1265063578240.64,52.385709516972,32.409306,2003–2014
2014-01-01,2039126479154.52,1553.88396075118,15.0655701107589,46.61638368575,47.8224137556558,16.7919345145039,34576643694.1382,6.66565671867899,7.656,55.518,45.2547111152237,29.8492736825481,24.8960152022282,4.34584976316208,1686708487024.67,51.8821873589628,33.073998,2003–2014
2015-01-01,2103588360044.94,1583.99815907985,15.5838545863713,42.2224896932249,47.7837481204463,16.1745081068401,44009492129.5319,4.90697344127249,7.629,55.422,44.2796936892031,30.7722358188634,24.9480704919335,5.88352227400691,1745169237451.33,51.8675240772049,31.254343,2014–present
2016-01-01,2294796885663.16,1707.50892912243,15.1622371332529,43.4157141002785,47.7494012900074,16.3638005616331,44458571545.798,4.94821634062134,7.611,55.326,43.2048505926307,31.6056633714195,25.1894783758453,9.18565591814956,1746297399289.67,38.2036507912231,29.870852,2014–present
2017-01-01,2651474262755.45,1950.10468280866,15.0182387501718,43.2891013378129,47.6708899682407,16.5583314049368,39966091358.7384,3.32817337461305,7.626,55.23,42.2671064682124,32.4671651415297,25.2657227336051,9.97528206363178,2555988798537.81,38.1707138624147,29.451957,2014–present
2018-01-01,2702929641648.74,1966.25455171679,14.8815306673017,39.4826916335169,48.4315663156522,16.031630686449,42117450737.2644,3.93882646691643,7.652,55.13,41.2949989249141,33.3391272966505,25.3658737784355,9.46095691207991,4139820080000.0,38.8975254010362,30.601897,2014–present
2019-01-01,2835606256558.19,2041.42863698585,13.4558075633394,37.9418122718447,50.0849578546822,16.7555683032837,50610647353.5911,3.72950573539123,6.51,55.026,40.6518149993227,34.0970739669082,25.251113046721,9.23442899080833,2162702910000.0,38.73794497616,29.790404,2014–present
2020-01-01,2674851578587.27,1907.04251637669,14.1204853576923,40.2134221615866,47.9326881092162,18.6685376603727,64362364994.3754,6.6234367762853,7.859,54.374,44.6754951957099,31.6208572724385,23.7036475318516,7.93883072465331,2552463790000.0,40.7867848551821,30.465636,2014–present
2021-01-01,3167270623260.47,2239.61384367482,14.3770288531286,44.4347321997376,47.8472234596709,17.3725615260314,44727277562.881,5.13140747176364,6.38,55.481,44.0791868866382,31.4503271149612,24.4704786231875,6.54245582956179,3548018470000.0,36.8920885102897,31.506474,2014–present
2022-01-01,3249938492013.47,2279.98145719369,13.3327202623974,43.2006774307114,47.1727519374304,18.2106659929942,49940258404.2659,6.69903414079858,4.822,56.666,42.8609991503088,31.0186666923037,26.1203341573875,4.81188454630947,3387366670000.0,38.1859763563586,32.350889,2014–present
2023-01-01,3500906030644.76,2434.44826340989,13.312843875072,41.9483051162599,47.5864648020094,17.6565389328245,28086193530.3979,5.64914318907925,4.172,57.925,43.5135811245793,31.4572072768006,25.0292115986201,3.35890319602042,4340130780000.0,40.8940758962907,33.760986,2014–present
2024-01-01,3760813470500.86,2591.9916607122,13.1392199491326,,47.9706270733631,17.5735799524173,27139853378.1402,4.95303550973661,4.173,58.991,42.3547738876441,32.2743097449178,25.3709259711612,2.50044366571028,5131397430000.0,41.6079694330613,33.735803,2014–present
2025-01-01,3956067115771.63,2702.47987141553,13.4710550684648,,49.337715077834,16.2342483910129,39097233086.2133,2.39884954182294,4.219,59.11,41.6251280877573,32.5575625031109,25.8173073806381,2.06283569455848,10559581760000.0,44.0250903358104,32.930228,2014–present
