,Year,GDP,Gross Capital Formation,Final consumption expenditure,Government final consumption expenditure,GDP per capita,Manufacturing share of GDP,Industry share of GDP,Services share of GDP,Agriculture share of GDP,FDI (net inflows in $),Inflation consumer prices (annual %),Unemployment rate,Labor force participation rate (ages 15-64)
0,1960-01-01,37029883876.1839,6639952634.03263,34792321598.5216,2434156450.15645,84.9328084793106,14.7501180851245,20.8343434545716,38.7824617546992,41.7413351234112,,1.77987784677391,,
1,1961-01-01,39232435784.0358,7557008993.67899,36540969270.6693,2704945305.65531,87.8538613470205,15.3538364833701,21.4348439741111,38.3258751959846,41.0924821982676,,1.69521293914433,,
2,1962-01-01,42161481858.0819,7634420165.48017,38915229736.0297,3279987049.07705,92.1999583629516,15.8632981306598,22.0526001363748,39.9358449722433,39.0659687962891,,3.63221497106987,,
3,1963-01-01,48421923459.1235,9197965701.2957,43778123129.4231,4215148283.24828,103.435021262932,15.7523883535285,21.8794758332279,38.0951802993762,39.825351677532,,2.94616135685225,,
4,1964-01-01,56480289940.9899,11030503757.9538,51117805615.4056,4542440271.32027,117.856430772855,14.8507399615767,20.9552885443107,36.340821458647,41.3437167110651,,13.3552611508153,,
5,1965-01-01,59556105229.0052,11945300832.6508,54395715481.2155,5233601278.90128,121.50831902883,15.0109077671991,21.6551050738054,37.4507381940725,39.3846972550148,,9.47475859170695,,
6,1966-01-01,45581230504.071,8367808593.69787,42585492034.6695,3877499634.99038,91.0276950517841,14.5039929678896,21.3866171713485,36.4597966556112,40.3516512369392,,10.8018483489341,,
7,1967-01-01,50134942204.0,9123328402.8,47393058420.0,4071544783.73333,97.9951481214155,13.2318612541203,20.089442878816,34.6095555073409,42.7515580248472,,13.062202477797,,
8,1968-01-01,53085455870.6667,9418554161.2,47799884222.6667,4458218702.26667,101.556802521195,13.5227880138949,20.6271156642435,35.054131363846,42.0860273767475,,3.23741242627507,,
9,1969-01-01,58447995017.3333,10310281984.0,51881738172.0,4997119463.46667,109.477664384288,14.146471583296,21.4174846344817,34.3058526097493,41.5849235838776,,-0.584136610466281,,
10,1970-01-01,62422483054.6667,11368032257.0667,55326240285.3333,5585091953.6,114.35532002008,14.4565450929442,21.7293092919549,35.0468708624974,40.2896134622547,45460000.0,5.09226161997545,,
11,1971-01-01,67351404351.833,12933904889.4895,60584882859.1447,6515435536.31405,120.680595539912,14.9822867425754,22.3920079066295,35.8036490825433,38.6333911913009,47659999.9,3.07993868406546,,
12,1972-01-01,71464700666.9869,13970228370.7894,64037484694.591,6670668779.78567,125.270705961882,15.102549377401,22.4080025875816,35.5216549188878,38.6268263019613,17789999.9,6.44209746158235,,
13,1973-01-01,85517673172.5513,15992453661.3582,75181955985.282,7189779958.45998,146.568492582405,15.0152853129175,21.3482302903111,32.947705615035,41.6038246201552,37909999.9,16.9408159791736,,
14,1974-01-01,99526597933.6331,22404947584.892,89811344382.2766,8599735911.0551,166.699661755332,16.3459133787071,22.6756933966727,33.6105959521083,38.8780587034235,56969999.9,28.5987340775089,,
15,1975-01-01,98473832017.3242,19246815110.8437,85891100618.2722,9342858644.13255,161.086694022079,15.8384866597931,23.201252076254,35.1392413952858,35.9969148408834,-10326246.7051639,5.74843029767442,,
16,1976-01-01,102716451979.68,19946787155.4095,87092519779.3511,10045415618.0965,164.119999587322,16.2658888327907,24.480523415356,35.8037232155147,34.3120367117561,-7706430.54257424,-7.63394763392881,,
17,1977-01-01,121486641441.309,25628351175.1409,103805522513.859,11188642615.9596,189.585568552477,16.0808689293586,24.4002625422792,34.6614496116454,35.777144264307,-36060000.0,8.30747009171166,,
18,1978-01-01,137302319828.995,31099965054.1995,118063971060.966,12960801619.1411,209.389063573463,17.0964405197176,25.3244196137718,34.9393647294725,34.2739627109778,18090000.0,2.52304875695179,,
19,1979-01-01,152995442497.709,36099851058.6662,131104163418.439,15138489045.5907,227.958179873426,17.852034489291,25.9922062250303,35.5214147292532,32.8255300200485,48570000.0,6.27568336762338,,
20,1980-01-01,186328579302.068,36436560119.0625,163033818813.751,17984212014.3733,271.080945953678,16.7523757975509,25.3362458953649,33.8072587357083,34.4088678062413,79159999.9,11.3460734795095,,
21,1981-01-01,193491368445.573,49456660070.229,165954849476.978,18625800114.5658,274.964330768528,16.7704437520438,26.1029192063254,33.8716186357614,33.2976974188253,91920000.0,13.112546897642,,
22,1982-01-01,200715624830.902,50448255165.3842,171249448515.035,20417943019.2962,278.65038258267,16.3699959373704,26.149804786646,34.8968372777428,32.3267496865056,72079999.9,7.89074279377487,,
23,1983-01-01,218262146413.158,45921421702.0267,186910645730.368,22025097264.3221,295.999773299382,16.6644546925096,26.2988432863343,34.5216006305407,32.6065348775622,5639999.9,11.8680812986734,,
24,1984-01-01,212157645177.652,49414522479.0321,180250250853.192,21970856689.919,281.049867840717,16.7078036003209,26.7391386534274,35.4208160849618,31.3805304117853,19239999.9,8.31890711860072,,
25,1985-01-01,232511554840.372,61490184601.4563,195098372385.284,25413960839.9387,300.928258576378,16.4180128626663,26.6290712211673,36.1149997720489,29.7181383564993,106090000.0,5.55642423236554,,
26,1986-01-01,248985994040.59,64899902260.822,210914482587.104,28758522474.4848,314.897116402542,16.2215838096135,26.7308358205169,36.9884678356446,28.6411462697276,117730000.0,8.72972072702581,,
27,1987-01-01,279033584092.223,72066370149.6703,232654341141.998,33285953697.0351,344.941028293075,16.2095493538891,26.6992365167194,37.4522794922894,27.9723784011745,212319999.9,8.80112581251833,,
28,1988-01-01,296589670895.932,77951580633.2355,242384607251.103,34417333827.6,358.484539641693,16.1015348492608,26.7115838158166,36.7964455054322,28.7698223693608,91250000.0,9.38347186185336,,
29,1989-01-01,296042052944.66,79519965120.6064,236049583352.763,34233599309.1518,349.915155021864,16.9028458965669,27.5509934814251,37.2293979795496,27.8396057996888,252099999.9,7.07428002942296,,
30,1990-01-01,320979026420.035,87743461242.1094,251521172783.241,36224062036.939,371.085936203765,16.597596442222,27.4536954957201,37.0447851946481,27.5848881365411,236690000.0,8.97123250273255,,59.89
31,1991-01-01,270105341879.226,67905847731.926,210943629036.731,29924231403.9138,305.574055928592,15.6762601605127,26.4417201769254,37.7856900237179,27.6627054102247,73537638.388533,13.8702461773683,7.641,59.936
32,1992-01-01,288208070278.013,79084882875.8473,220938534594.221,31458044828.7105,319.182472626315,15.8007998170807,26.7927432696344,37.9125681820607,26.8969194477949,276512438.973893,11.7878170418134,7.649,59.985
33,1993-01-01,279295648982.529,63445946163.9591,213533315565.81,30729964715.9822,302.884806246174,15.9157121078439,26.7815542820739,38.4906849170226,27.0545587671255,550370024.929383,6.32689048779867,7.662,60.035
34,1994-01-01,327274843459.429,86106556408.0966,246361549515.728,34153792203.9115,347.73421473994,16.764138131312,27.6282012473106,37.4963023409284,26.519937575032,973271468.722873,10.2479355556119,7.593,60.092
35,1995-01-01,360281909643.489,105030596995.344,267475914004.35,37974677098.3764,375.17600537305,17.8658505968554,28.5998094242024,37.8496681189619,24.4575477898552,2143628110.28391,10.2248861637545,7.57,60.471
36,1996-01-01,392896866204.516,89420392519.4172,294225170958.742,40589741793.8297,401.046754673579,17.5963408006414,27.9122703698412,37.709329473598,25.199306058679,2426057021.91092,8.97715233826453,7.537,60.852
37,1997-01-01,415867563592.829,106847742358.73,311653474886.928,45864894957.4331,416.228116203753,16.5185785304333,27.8370307633106,39.0795515246162,24.248674505748,3577330042.34585,7.16425211462721,7.574,61.237
38,1998-01-01,421351317224.941,105234050234.063,319041418597.632,50182477611.2604,413.630864056851,15.7193160164939,27.3030378517565,40.1325687271653,24.180451549085,2634651657.7714,13.2308389767977,7.596,61.625
39,1999-01-01,458821052615.79,142042225086.271,349552709503.408,55863709567.0988,441.927991436397,15.1805367132738,26.5192933488596,41.9657377868543,22.9725618865025,2168591054.37924,4.6698203803759,7.583,62.014
40,2000-01-01,468395521654.458,120271401428.678,354513659482.299,55963126271.9725,442.750218937263,15.9270230184323,27.3258283775917,42.7329266435537,21.6110620465121,3584217307.18755,4.0094359104519,7.589,62.401
41,2001-01-01,485440139204.171,145184897910.805,368489392704.938,57094798714.0268,450.357900514128,15.3070212831531,26.4877773440307,43.8089612621243,21.6188848861438,5128093561.62688,3.77929312235637,7.611,62.253
42,2002-01-01,514939140318.756,155775784776.875,382825025036.159,58260703884.4037,469.149928973927,15.5587017262956,27.6606541607882,44.7288275521667,19.5345432709546,5208967106.27894,4.29715203929562,7.681,62.104
